jurisdiction,site,plotid,year,pre_post_fire,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,notes
UC_reserve,Valentine,VR52,2019,prefire,0,<20,2,2,4,11.3,2,6,1,0,0,0.5,2,na,na,
UC_reserve,Valentine,VR52,2019,prefire,90,<20,2,2,4,11.3,5,2,1,2,6,4,4,na,na,
UC_reserve,Valentine,VR52,2019,prefire,180,<20,2,2,4,11.3,0,0,2,0,0,5,2,na,na,
UC_reserve,Valentine,VR52,2019,prefire,270,<20,2,2,4,11.3,3,4,1,1.5,3,5,6,na,na,
UC_reserve,Valentine,VR33,2019,prefire,0,<20,2,2,4,11.3,19,20,0,1,8.5,2,10,na,na,
UC_reserve,Valentine,VR33,2019,prefire,90,<20,2,2,4,11.3,20,6,1,2.5,12,1,6,na,na,
UC_reserve,Valentine,VR33,2019,prefire,180,<20,2,2,4,11.3,3,4,0,3,4.5,2.5,6,na,na,
UC_reserve,Valentine,VR33,2019,prefire,270,<20,2,2,4,11.3,22,2,0,3.5,12,-,-,na,na,
UC_reserve,Valentine,VR10N,2019,prefire,0,<20,2,2,4,11.3,1,3,0,5,1,4,3,na,na,
UC_reserve,Valentine,VR10N,2019,prefire,90,<20,2,2,4,11.3,4,2,4,3,2,0,0,na,na,
UC_reserve,Valentine,VR10N,2019,prefire,180,<20,2,2,4,11.3,2,0,4,0,2,0,0.5,na,na,
UC_reserve,Valentine,VR10N,2019,prefire,270,<20,2,2,4,11.3,1,0,1,6,11,5,12,na,na,
UC_reserve,Valentine,VR11N,2019,prefire,0,<20,2,2,4,11.3,5,4,1,5,9,5,3,na,na,
UC_reserve,Valentine,VR11N,2019,prefire,90,<20,2,2,4,11.3,13,10,0,5,4,3,5,na,na,
UC_reserve,Valentine,VR11N,2019,prefire,180,<20,2,2,4,11.3,48,12,1,6,10,5,12,na,na,
UC_reserve,Valentine,VR11N,2019,prefire,270,<20,2,2,4,11.3,27,4,2,3,7,0,6,na,na,
UC_reserve,Valentine,VR12N,2019,prefire,0,<20,2,2,4,11.3,9,3,0,5,8,7,4,na,na,
UC_reserve,Valentine,VR12N,2019,prefire,90,<20,2,2,4,11.3,10,6,3,5,3,0,0,na,na,
UC_reserve,Valentine,VR12N,2019,prefire,180,<20,2,2,4,11.3,2,1,0,11,5,6,0.5,na,na,
UC_reserve,Valentine,VR12N,2019,prefire,270,<20,2,2,4,11.3,2,2,1,6,3,10,5,na,na,
UC_reserve,Valentine,VR13N,2019,prefire,0,<20,2,2,4,11.3,6,3,0,0,0,4,5,na,na,
UC_reserve,Valentine,VR13N,2019,prefire,90,<20,2,2,4,11.3,14,7,1,5,10,3,6,na,na,
UC_reserve,Valentine,VR13N,2019,prefire,180,<20,2,2,4,11.3,10,3,4,5,6,6,10,na,na,
UC_reserve,Valentine,VR13N,2019,prefire,270,<20,2,2,4,11.3,0,2,0,0,0.5,-,0.5,na,na,
UC_reserve,Valentine,VR31N,2019,prefire,0,<20,2,2,4,11.3,10,0,0,0.5,0,0.5,2,na,na,
UC_reserve,Valentine,VR31N,2019,prefire,90,<20,2,2,4,11.3,6,0,0,7,3,7,4,na,na,
UC_reserve,Valentine,VR31N,2019,prefire,180,<20,2,2,4,11.3,9,13,4,5,2,6,4,na,na,
UC_reserve,Valentine,VR31N,2019,prefire,270,<20,2,2,4,11.3,3,1,2,0,0,0,0,na,na,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
